Kilometres,Zone,Bonus,Make,Insured,Claims,Payment,PP
1,1,1,1,455.13,108,392491,862.3711906
1,1,1,2,69.17,19,46221,668.2232182
1,1,1,3,72.88,13,15694,215.3402854
1,1,1,4,1292.39,124,422201,326.6823482
1,1,1,5,191.01,40,119373,624.9568085
1,1,1,6,477.66,57,170913,357.8130888
1,1,1,7,105.58,23,56940,539.3066869
1,1,1,8,32.55,14,77487,2380.552995
1,1,1,9,9998.46,1704,6805992,680.7040284
1,1,2,1,314.58,45,214011,680.3070761
1,1,2,2,61.82,10,65303,1056.34099
1,1,2,3,47.06,5,20871,443.4976626
1,1,2,4,782.58,48,242894,310.375936
1,1,2,5,115.43,11,23545,203.9764359
1,1,2,6,338.06,23,39598,117.1330533
1,1,2,7,70.44,7,48767,692.3197047
1,1,2,8,15.25,2,6560,430.1639344
1,1,2,9,6416.19,638,2873487,447.8494247
1,1,3,1,309.98,24,134931,435.2893735
1,1,3,2,49.18,6,50908,1035.136234
1,1,3,3,32.02,3,4399,137.3828857
1,1,3,4,497.2,23,112992,227.2566372
1,1,3,5,73.48,6,14788,201.2520414
1,1,3,6,278.01,9,48713,175.2203158
1,1,3,7,66.36,9,52076,784.7498493
1,1,3,8,17.86,3,13161,736.8980963
1,1,3,9,5063.15,408,1707680,337.2762016
1,1,4,1,318.48,29,103866,326.1303693
1,1,4,2,57.21,7,77588,1356.196469
1,1,4,3,35.33,4,11839,335.0976507
1,1,4,4,374.28,20,98140,262.2101101
1,1,4,5,85.18,7,27919,327.7647335
1,1,4,6,199.7,7,103910,520.3304957
1,1,4,7,60.46,4,38065,629.5898114
1,1,4,8,12.74,0,0,0
1,1,4,9,4263.09,300,1267678,297.3613037
1,1,5,1,444.37,25,69203,155.7328352
1,1,5,2,86.65,6,14620,168.7247548
1,1,5,3,53.81,5,40258,748.1509013
1,1,5,4,361.62,22,161455,446.4769648
1,1,5,5,117.91,3,20011,169.7141888
1,1,5,6,232.55,11,57214,246.028811
1,1,5,7,81.27,3,4496,55.32176695
1,1,5,8,18.21,0,0,0
1,1,5,9,4761.37,301,1116208,234.4300065
1,1,6,1,1016.67,61,217617,214.0488064
1,1,6,2,150.56,12,58099,385.8860255
1,1,6,3,126.69,4,12268,96.83479359
1,1,6,4,517.31,16,59634,115.2771066
1,1,6,5,246.62,13,84966,344.5219366
1,1,6,6,482.96,19,137005,283.6777373
1,1,6,7,203.6,12,33767,165.8497053
1,1,6,8,25.88,3,6279,242.6197836
1,1,6,9,9197.99,522,1939894,210.9041214
1,1,7,1,5430.48,214,1048698,193.1133159
1,1,7,2,659.54,24,143915,218.2051127
1,1,7,3,657.34,22,153830,234.0189248
1,1,7,4,2795.72,60,202413,72.40102728
1,1,7,5,1119.12,41,180345,161.1489385
1,1,7,6,2861.69,92,484604,169.3418924
1,1,7,7,1111,37,152801,137.5346535
1,1,7,8,166.61,6,14084,84.53274113
1,1,7,9,48264.64,1875,8977527,186.0062978
1,2,1,1,458.89,98,532092,1159.519711
1,2,1,2,72.78,5,9006,123.7427865
1,2,1,3,33.23,7,45498,1369.184472
1,2,1,4,1544.55,101,337480,218.4972969
1,2,1,5,200.9,43,191982,955.6097561
1,2,1,6,663.98,65,300632,452.7726739
1,2,1,7,124.73,10,23349,187.1963441
1,2,1,8,29.24,4,13581,464.4664843
1,2,1,9,11381,1326,6173598,542.4477638
1,2,2,1,364.78,40,211494,579.7850759
1,2,2,2,51.89,5,10811,208.3445751
1,2,2,3,29.39,4,36204,1231.847567
1,2,2,4,1053.01,33,135007,128.2105583
1,2,2,5,110.1,16,49061,445.6039964
1,2,2,6,470.62,30,64287,136.6006545
1,2,2,7,93.29,8,51080,547.5399293
1,2,2,8,17.88,1,600,33.55704698
1,2,2,9,7607.66,591,2510207,329.957832
1,2,3,1,315.14,17,106975,339.4523069
1,2,3,2,64.53,4,16922,262.2346196
1,2,3,3,27.24,2,8255,303.0469897
1,2,3,4,726.13,29,93656,128.9796593
1,2,3,5,96.49,4,44966,466.0172039
1,2,3,6,365.81,16,43426,118.7118996
1,2,3,7,80.8,5,48691,602.6113861
1,2,3,8,13.3,1,1325,99.62406015
1,2,3,9,5898.98,320,1392652,236.0835263
1,2,4,1,320.47,16,136143,424.8229163
1,2,4,2,69.55,4,34137,490.8267434
1,2,4,3,33.37,1,2702,80.97093197
1,2,4,4,507.57,9,22292,43.91906535
1,2,4,5,72.4,7,20295,280.3176796
1,2,4,6,316.14,9,57404,181.577782
1,2,4,7,72.05,3,8538,118.5010409
1,2,4,8,18.35,0,0,0
1,2,4,9,4957.56,269,1375988,277.5534739
1,2,5,1,473.63,27,136376,287.9378418
1,2,5,2,88.09,8,19038,216.1198774
1,2,5,3,46.27,2,3604,77.89064188
1,2,5,4,467.96,9,10597,22.64509787
1,2,5,5,126.88,10,26433,208.3307062
1,2,5,6,316.15,11,52950,167.4837893
1,2,5,7,101.11,7,21620,213.8265256
1,2,5,8,23.37,1,2680,114.6769362
1,2,5,9,5481.31,282,1079230,196.8927136
1,2,6,1,996.27,61,236220,237.1043994
1,2,6,2,175.14,10,25036,142.9484983
1,2,6,3,111.97,5,22261,198.8121818
1,2,6,4,601.61,16,88961,147.8715447
1,2,6,5,260.69,14,64368,246.9139591
1,2,6,6,593.18,17,65578,110.5532891
1,2,6,7,229.72,7,46244,201.3059377
1,2,6,8,46.66,7,14385,308.294042
1,2,6,9,9830.72,413,1840742,187.2438641
1,2,7,1,6021.43,233,1086534,180.4445124
1,2,7,2,852.8,33,165960,194.6060038
1,2,7,3,751.59,24,100564,133.8016738
1,2,7,4,3293.99,60,201401,61.14195854
1,2,7,5,1289.09,53,272610,211.4747613
1,2,7,6,3665.27,97,524316,143.0497617
1,2,7,7,1369.91,35,159658,116.5463425
1,2,7,8,183.98,5,18603,101.1142515
1,2,7,9,55084.54,1744,8500391,154.3153669
1,3,1,1,453.06,72,329632,727.5680925
1,3,1,2,67.13,9,79565,1185.237599
1,3,1,3,35.22,5,11746,333.5036911
1,3,1,4,1653.17,89,338305,204.6401761
1,3,1,5,206.62,38,124108,600.6582131
1,3,1,6,859.95,64,213078,247.7795221
1,3,1,7,110.08,11,34844,316.5334302
1,3,1,8,25.92,5,25319,976.8132716
1,3,1,9,11436.08,1205,5173923,452.4210219
1,3,2,1,317.1,25,90162,284.333018
1,3,2,2,54.58,8,19327,354.1040674
1,3,2,3,22.59,3,1209,53.51925631
1,3,2,4,1187.43,30,123124,103.6894806
1,3,2,5,129.53,13,99258,766.2935227
1,3,2,6,617.11,40,137828,223.3442984
1,3,2,7,102.5,7,14904,145.404878
1,3,2,8,21.56,1,597,27.69016698
1,3,2,9,8351.79,425,1937445,231.9796116
1,3,3,1,357.43,18,37835,105.8528943
1,3,3,2,62.87,3,5014,79.75186894
1,3,3,3,18,0,0,0
1,3,3,4,849.23,25,61591,72.52569975
1,3,3,5,119.21,6,47495,398.4145625
1,3,3,6,463.6,20,53173,114.6958585
1,3,3,7,104.36,6,11936,114.3733231
1,3,3,8,14.21,1,31442,2212.667136
1,3,3,9,6540.44,304,1284025,196.3208897
1,3,4,1,338.37,19,136281,402.7573366
1,3,4,2,52.49,2,9253,176.2811964
1,3,4,3,27.97,0,0,0
1,3,4,4,571.94,23,142536,249.2149526
1,3,4,5,113.36,6,21433,189.0702188
1,3,4,6,406.33,21,131027,322.4644993
1,3,4,7,85.15,3,4079,47.90369935
1,3,4,8,16.16,1,1012,62.62376238
1,3,4,9,5123.78,217,994540,194.1027913
1,3,5,1,459.4,16,61958,134.8672181
1,3,5,2,73.51,2,5056,68.77975786
1,3,5,3,41.51,4,44278,1066.682727
1,3,5,4,517.24,8,18455,35.67976181
1,3,5,5,136.08,8,28248,207.5837743
1,3,5,6,417.71,11,15568,37.26987623
1,3,5,7,103.07,1,8347,80.98379742
1,3,5,8,26.11,1,1144,43.81463041
1,3,5,9,5849.14,242,1184032,202.4283912
1,3,6,1,1060.28,43,245621,231.6567322
1,3,6,2,124.82,7,12648,101.3299151
1,3,6,3,119.17,2,5855,49.13149283
1,3,6,4,639.97,12,64278,100.4390831
1,3,6,5,307.56,14,90310,293.6337625
1,3,6,6,740.33,24,117763,159.0682533
1,3,6,7,233.83,7,20303,86.82803746
1,3,6,8,53.41,3,6221,116.4763153
